Product Name,Actual Price,offer Price,No.of Ratings,reviews,Averager Rating,Brand,offer %
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U,"₹43,990","₹30,990","2,361",235,4.2,ASUS,29% off
HP 15R (2025) Intel Core i3 13th Gen 1315U,"₹74,990","₹32,390",49,4,4.2,HP,56% off
Acer One Intel Core i3 11th Gen 1115G4,"₹43,999","₹28,990","13,051",963,4.2,Acer,34% off
HP 250 G9 Intel Core i3 12th Gen 1215U,"₹49,990","₹33,490",77,3,4.1,HP,33% off
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U","₹69,990","₹40,990",44,3,4.2,ASUS,41% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
MSI AMD Ryzen 5 Hexa Core 7530U,"₹68,990","₹42,990",5,0,4.8,MSI,37% off
HP (2024) Laptop with Backlit Keyboard Intel Core i5 12th Gen 1235U,"₹54,479","₹46,390",12,1,4.3,HP,14% off
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U,"₹43,990","₹30,990","2,361",235,4.2,ASUS,29% off
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,"₹16,298","₹9,999",13,0,3.6,Lenovo,38% off
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020,"₹40,490","₹24,978","2,756",237,4.1,Lenovo,38% off
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS,"₹1,08,990","₹82,490",944,68,4.5,Lenovo,24% off
Apple MacBook Air Apple M3,"₹1,74,900","₹1,63,990",n/a,n/a,n/a,Apple,6% off
HP Victus Intel Core i5 13th Gen 13420H,"₹75,142","₹65,990",129,4,4,HP,12% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,"₹1,25,890","₹54,990",163,23,4.2,Lenovo,56% off
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,"₹66,990","₹44,990","7,361",412,4.2,ASUS,32% off
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U,"₹74,990","₹46,990",573,48,4,Acer,37% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X","₹84,990","₹62,990",41,4,4,ASUS,25% off
Lenovo LOQ Intel Core i5 13th Gen 13450HX,"₹1,04,490","₹77,990","1,576",133,4.3,Lenovo,25% off
HP Laptop AMD Ryzen 3 Quad Core 5300U,"₹44,783","₹31,549","2,161",185,4.2,HP,29% off
Lenovo V15 G2 Intel Core i3 11th Gen 1115G4,"₹55,000","₹31,499",403,23,4.2,Lenovo,42% off
ASUS Intel Celeron Dual Core N4500,"₹37,990","₹23,999",4,0,4,ASUS,36% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U,"₹52,990","₹31,490",43,7,4.2,Acer,40% off
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U,"₹71,290","₹45,690",4,0,4,Lenovo,35% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS,"₹70,990","₹52,990",6,1,3.8,ASUS,25% off
Lenovo LOQ Intel Core i7 13th Gen 13650HX,"₹1,23,090","₹90,490",154,12,4.1,Lenovo,26% off
HP 14R (2025) Intel Core i3 13th Gen 1315U,"₹82,990","₹35,990",16,4,4.4,HP,56% off
Lenovo V15 Intel Intel Core i5 11th Gen 1135G7,"₹81,450","₹36,990",42,3,4.1,Lenovo,54% off
Apple Apple M3,"₹1,34,900","₹1,25,990",4,0,4,Apple,6% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
HP Pavilion AI PC Intel Core Ultra 7 155U,"₹1,04,048","₹81,990",12,1,3.9,HP,21% off
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 12th Gen 1235U","₹65,973","₹46,990","1,218",77,4.2,DELL,28% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
Apple MacBook Air Apple M3,"₹1,74,900","₹1,63,990",n/a,n/a,n/a,Apple,6% off
Acer Aspire 7 Intel Core i5 13th Gen 13420H,"₹79,999","₹59,990","2,054",150,4.3,Acer,25% off
HP Pavilion x360 Intel Core i5 13th Gen 1335U,"₹92,746","₹70,490",224,27,4.3,HP,23% off
Lenovo LOQ Intel Core i5 12th Gen 12450HX,"₹1,05,090","₹72,990",756,59,4.2,Lenovo,30% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹50,990","₹29,990","2,959",283,4.2,ASUS,41% off
HP Laptop AMD Ryzen 3 Quad Core 5300U,"₹44,783","₹31,549","2,161",185,4.2,HP,29% off
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U,"₹53,990","₹41,890","1,026",75,4.2,ASUS,22% off
GIGABYTE G6 MF-H2IN853KH Intel Core i7 13th Gen G Series,"₹1,60,500","₹72,990",6,3,4.8,GIGABYTE,54% off
CHUWI Intel Celeron Quad Core 12th Gen N100,"₹34,990","₹17,990",517,92,4.1,CHUWI,48% off
